Elm, Pine, Oak, Alder, Hazel, Ash, Lime, Birch, Hornbeam, Larch, Beech, Willow, Maple, PFT, Elm-R, Pine-R, Oak-R, Alder-R, Hazel-R, Ash-R, Lime-R, Birch-R, Hornbeam-R, Larch-R, Beech-R, Willow-R, Maple-R, PFT-R 
0, 0, 1, 0, 4, 40, 0, 0, 0, 0, 0, 0, 8, 4, 0, 0, 1, 0, 4, 40, 0, 0, 0, 0, 0, 0, 8, 4 
0.3, 0, 0.95, 0, 5.45, 33.15, 0, 0, 0, 0, 0, 0, 7.4, 3.5,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 6, 33.65, 0, 0, 0, 0, 0, 0, 8.75, 4.05,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 6.85, 34.1, 0, 0, 0, 0, 0, 0, 10.25, 4.65,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 7.65, 34.65, 0, 0, 0, 0, 0, 0, 11.9, 5.25,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 8.4, 35.25, 0, 0, 0, 0, 0, 0, 13.6, 5.75,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 9.2, 35.95, 0, 0, 0, 0, 0, 0, 15.15, 6.15,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 9.8, 36.35, 0, 0, 0, 0, 0, 0, 16.8, 6.6,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 10.8, 36.8, 0, 0, 0, 0, 0, 0, 18.5, 7.1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 11.65, 37.3, 0, 0, 0, 0, 0, 0, 20.1, 7.5,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 12.5, 37.85, 0, 0, 0, 0, 0, 0, 22.05, 8,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 13.05, 38.4, 0, 0, 0, 0, 0, 0, 23.55, 8.55,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 13.85, 39.2, 0, 0, 0, 0, 0, 0, 25.55, 9,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 14.35, 39.65, 0, 0, 0, 0, 0, 0, 27, 9.3,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
0.25, 0, 0.95, 0, 15.25, 40.2, 0, 0, 0, 0, 0, 0, 28.25, 9.7,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
